source,target,weight
24,95,0.48597756803606634
24,99,0.4844525712809941
24,103,0.49572509594695713
24,130,0.4932129796395048
24,133,0.36789669697518435
24,179,0.47645929201557546
24,200,0.47866548283351656
24,208,0.49332292797486016
24,229,0.39892045304464135
24,230,0.3549767138443798
24,256,0.40421826866352584
24,272,0.4461173136804073
24,287,0.34782088832499297
24,290,0.3938170927189087
24,292,0.36881509290750847
25,7,0.21813246240898784
25,10,0.4601868605733797
25,47,0.46404560634523895
25,57,0.45966876950485575
25,58,0.45747018893290453
25,70,0.4641122690760565
25,162,0.4641411692093937
25,164,0.46271428269038867
25,185,0.26413287287218884
25,189,0.30532347642433394
25,200,0.4622294594335299
25,221,0.4672911499217909
25,231,0.45875051949717816
25,238,0.2886799518459506
25,246,0.3738663111279131
25,278,0.31007647071987426
25,291,0.44532522887804943
26,7,0.22421282068945747
26,9,0.4034870823065964
26,39,0.4061988102421312
26,77,0.2271144614364279
26,78,0.21187302534935704
26,89,0.40125801515936904
26,104,0.3910764573428736
26,154,0.40345497020714394
26,170,0.3020069782274825
26,178,0.390412986523346
26,189,0.3149127865343423
26,230,0.37186579382671053
26,244,0.4094750286172761
26,246,0.35361558595706544
26,247,0.3890329742150992
26,263,0.25450948417588204
26,266,0.391560903541133
26,272,0.3946623925675666
26,278,0.30949056682576065
26,285,0.278290298323225
27,11,0.5930110421186578
27,14,0.686871940982904
27,16,0.5512073287118613
27,17,0.5706798221238925
27,28,0.6635503507977677
27,32,0.6678514088229552
27,33,0.6814523517043166
27,42,0.6423858303224879
27,46,0.6442137700788009
27,48,0.534151502430047
27,50,0.6704326492680776
27,54,0.6774185141878034
27,64,0.5535222205942727
27,92,0.5233575104151547
27,103,0.5983729278594222
27,147,0.6693799022492402
27,154,0.5483621856129436
27,160,0.6312056543518542
27,165,0.5145269027493897
27,168,0.6395876170401139
27,181,0.6142334799371788
27,186,0.5671847303868024
27,198,0.5564734781679477
27,211,0.6870680450227848
27,221,0.634520729673574
27,250,0.6674910721255544
27,252,0.6113832537918764
